_Start_
Successfully init Motor aansturing
Encoder:  31 | 0        --       Error: 0 | 0   --       Left: 0 | Right: 0     --       Time: 1063472 6268650
Encoder:  31 | 0        --       Error: 0 | 0   --       Left: 0 | Right: 0     --       Time: 1063472 6276115
Encoder:  31 | 0        --       Error: 0 | 0   --       Left: 0 | Right: 0     --       Time: 1063472 6283579
Encoder:  23 | 0        --       Error: 0 | 0   --       Left: 0 | Right: 0     --       Time: 1063472 6291044
Encoder:  23 | 0        --       Error: 0 | 0   --       Left: 0 | Right: 0     --       Time: 1063472 6298509
Encoder:  23 | 0        --       Error: 0 | 0   --       Left: 0 | Right: 0     --       Time: 1063472 6305974
Encoder:  23 | 0        --       Error: 0 | 0   --       Left: 0 | Right: 0     --       Time: 1063472 6313439
Encoder:  23 | 0        --       Error: 0 | 0   --       Left: 0 | Right: 0     --       Time: 1063472 6320903
Encoder:  23 | 0        --       Error: 0 | 0   --       Left: 0 | Right: 0     --       Time: 1063472 6328368
Encoder:  23 | 0        --       Error: 0 | 0   --       Left: 0 | Right: 0     --       Time: 1063472 6335833
Encoder:  23 | 0        --       Error: 0 | 0   --       Left: 0 | Right: 0     --       Time: 1063472 6343298
Encoder:  23 | 0        --       Error: 0 | 0   --       Left: 0 | Right: 0     --       Time: 1063472 6350762
Encoder:  23 | 0        --       Error: 0 | 0   --       Left: 0 | Right: 0     --       Time: 1063472 6358227
Encoder:  23 | 0        --       Error: 0 | 0   --       Left: 0 | Right: 0     --       Time: 1063472 6365692
Encoder:  23 | 0        --       Error: 0 | 0   --       Left: 0 | Right: 0     --       Time: 1063472 6373157
Encoder:  23 | 0        --       Error: 0 | 0   --       Left: 0 | Right: 0     --       Time: 1063472 6380622
Encoder:  23 | 0        --       Error: 0 | 0   --       Left: 0 | Right: 0     --       Time: 1063472 6388087
Encoder:  23 | 0        --       Error: 0 | 0   --       Left: 0 | Right: 0     --       Time: 1063472 6395551
Encoder:  23 | 0        --       Error: 0 | 0   --       Left: 0 | Right: 0     --       Time: 1063472 6403016
Encoder:  23 | 0        --       Error: 0 | 0   --       Left: 0 | Right: 0     --       Time: 1063472 6410481
Encoder:  23 | 0        --       Error: 0 | 0   --       Left: 0 | Right: 0     --       Time: 1063472 6417946
Encoder:  23 | 0        --       Error: 0 | 0   --       Left: 0 | Right: 0     --       Time: 1063472 6425411
Encoder:  23 | 0        --       Error: 0 | 0   --       Left: 0 | Right: 0     --       Time: 1063472 6432875
Encoder:  23 | 0        --       Error: 0 | 0   --       Left: 0 | Right: 0     --       Time: 1063472 6440340
Encoder:  23 | 0        --       Error: 0 | 0   --       Left: 0 | Right: 0     --       Time: 1063472 6447805
Encoder:  23 | 0        --       Error: 0 | 0   --       Left: 0 | Right: 0     --       Time: 1063472 6455270
Encoder:  23 | 0        --       Error: 0 | 0   --       Left: 0 | Right: 0     --       Time: 1063472 6462735
Encoder:  23 | 0        --       Error: 0 | 0   --       Left: 0 | Right: 0     --       Time: 1063472 6470199
Encoder:  23 | 0        --       Error: 0 | 0   --       Left: 0 | Right: 0     --       Time: 1063472 6477664
Encoder:  23 | 0        --       Error: 0 | 0   --       Left: 0 | Right: 0     --       Time: 1063472 6485129
Encoder:  23 | 0        --       Error: 0 | 0   --       Left: 0 | Right: 0     --       Time: 1063472 6492594
Encoder:  23 | 0        --       Error: 0 | 0   --       Left: 0 | Right: 0     --       Time: 1063472 6500059
Encoder:  23 | 0        --       Error: 0 | 0   --       Left: 0 | Right: 0     --       Time: 1063472 6507523
Encoder:  23 | 0        --       Error: 0 | 0   --       Left: 0 | Right: 0     --       Time: 1063472 6514988
Encoder:  23 | 0        --       Error: 0 | 0   --       Left: 0 | Right: 0     --       Time: 1063472 6522453
Encoder:  23 | 0        --       Error: 0 | 0   --       Left: 0 | Right: 0     --       Time: 1063472 6529918
Encoder:  23 | 0        --       Error: 0 | 0   --       Left: 0 | Right: 0     --       Time: 1063472 6537383
Encoder:  23 | 0        --       Error: 0 | 0   --       Left: 0 | Right: 0     --       Time: 1063472 6544847
Encoder:  23 | 0        --       Error: 0 | 0   --       Left: 0 | Right: 0     --       Time: 1063472 6552312
Encoder:  23 | 0        --       Error: 0 | 0   --       Left: 0 | Right: 0     --       Time: 1063472 6559777
Encoder:  23 | 0        --       Error: 0 | 0   --       Left: 0 | Right: 0     --       Time: 1063472 6567242
Encoder:  23 | 0        --       Error: 0 | 0   --       Left: 0 | Right: 0     --       Time: 1063472 6574706
Encoder:  23 | 0        --       Error: 0 | 0   --       Left: 0 | Right: 0     --       Time: 1063472 6582171
Encoder:  23 | 0        --       Error: 0 | 0   --       Left: 0 | Right: 0     --       Time: 1063472 6589636
Encoder:  23 | 0        --       Error: 0 | 0   --       Left: 0 | Right: 0     --       Time: 1063472 6597101
Encoder:  23 | 0        --       Error: 0 | 0   --       Left: 0 | Right: 0     --       Time: 1063472 6604566
Encoder:  23 | 0        --       Error: 0 | 0   --       Left: 0 | Right: 0     --       Time: 1063472 6612031
Encoder:  23 | 0        --       Error: 0 | 0   --       Left: 0 | Right: 0     --       Time: 1063472 6619495
Encoder:  23 | 0        --       Error: 0 | 0   --       Left: 0 | Right: 0     --       Time: 1063472 6626960
Encoder:  23 | 0        --       Error: 0 | 0   --       Left: 0 | Right: 0     --       Time: 1063472 6634425
Encoder:  23 | 0        --       Error: 0 | 0   --       Left: 0 | Right: 0     --       Time: 1063472 6641890
Encoder:  23 | 0        --       Error: 0 | 0   --       Left: 0 | Right: 0     --       Time: 1063472 6649355
Encoder:  23 | 0        --       Error: 0 | 0   --       Left: 0 | Right: 0     --       Time: 1063472 6656819
Encoder:  23 | 0        --       Error: 0 | 0   --       Left: 0 | Right: 0     --       Time: 1063472 6664284
Encoder:  23 | 0        --       Error: 0 | 0   --       Left: 0 | Right: 0     --       Time: 1063472 6671749
Encoder:  23 | 0        --       Error: 0 | 0   --       Left: 0 | Right: 0     --       Time: 1063472 6679214
Encoder:  23 | 0        --       Error: 0 | 0   --       Left: 0 | Right: 0     --       Time: 1063472 6686679
Encoder:  23 | 0        --       Error: 0 | 0   --       Left: 0 | Right: 0     --       Time: 1063472 6694143
Encoder:  23 | 0        --       Error: 0 | 0   --       Left: 0 | Right: 0     --       Time: 1063472 6701608
Encoder:  23 | 0        --       Error: 0 | 0   --       Left: 0 | Right: 0     --       Time: 1063472 6709073
Encoder:  23 | 0        --       Error: 0 | 0   --       Left: 0 | Right: 0     --       Time: 1063472 6716538
Encoder:  23 | 0        --       Error: 0 | 0   --       Left: 0 | Right: 0     --       Time: 1063472 6724003
Encoder:  23 | 0        --       Error: 0 | 0   --       Left: 0 | Right: 0     --       Time: 1063472 6731467
Encoder:  23 | 0        --       Error: 0 | 0   --       Left: 0 | Right: 0     --       Time: 1063472 6738932
Encoder:  23 | 0        --       Error: 0 | 0   --       Left: 0 | Right: 0     --       Time: 1063472 6746397
Encoder:  23 | 0        --       Error: 0 | 0   --       Left: 0 | Right: 0     --       Time: 1063472 6753862
Encoder:  23 | 0        --       Error: 0 | 0   --       Left: 0 | Right: 0     --       Time: 1063472 6761327
Encoder:  23 | 0        --       Error: 0 | 0   --       Left: 0 | Right: 0     --       Time: 1063472 6768791
Encoder:  23 | 0        --       Error: 0 | 0   --       Left: 0 | Right: 0     --       Time: 1063472 6776256
Encoder:  23 | 0        --       Error: 0 | 0   --       Left: 0 | Right: 0     --       Time: 1063472 6783721
Encoder:  23 | 0        --       Error: 0 | 0   --       Left: 0 | Right: 0     --       Time: 1063472 6791186
Encoder:  23 | 0        --       Error: 0 | 0   --       Left: 0 | Right: 0     --       Time: 1063472 6798651
Encoder:  23 | 0        --       Error: 0 | 0   --       Left: 0 | Right: 0     --       Time: 1063472 6806115
Encoder:  23 | 0        --       Error: 0 | 0   --       Left: 0 | Right: 0     --       Time: 1063472 6813580
Encoder:  23 | 0        --       Error: 0 | 0   --       Left: 0 | Right: 0     --       Time: 1063472 6821045
Encoder:  23 | 0        --       Error: 0 | 0   --       Left: 0 | Right: 0     --       Time: 1063472 6828510
Encoder:  23 | 0        --       Error: 0 | 0   --       Left: 0 | Right: 0     --       Time: 1063472 6835975
Encoder:  23 | 0        --       Error: 0 | 0   --       Left: 0 | Right: 0     --       Time: 1063472 6843439
Encoder:  23 | 0        --       Error: 0 | 0   --       Left: 0 | Right: 0     --       Time: 1063472 6850904
Encoder:  23 | 0        --       Error: 0 | 0   --       Left: 0 | Right: 0     --       Time: 1063472 6858369
Encoder:  23 | 0        --       Error: 0 | 0   --       Left: 0 | Right: 0     --       Time: 1063472 6865834
Encoder:  23 | 0        --       Error: 0 | 0   --       Left: 0 | Right: 0     --       Time: 1063472 6873299
Encoder:  23 | 0        --       Error: 0 | 0   --       Left: 0 | Right: 0     --       Time: 1063472 6880763
Encoder:  23 | 0        --       Error: 0 | 0   --       Left: 0 | Right: 0     --       Time: 1063472 6888228
Encoder:  23 | 0        --       Error: 0 | 0   --       Left: 0 | Right: 0     --       Time: 1063472 6895693
Encoder:  23 | 0        --       Error: 0 | 0   --       Left: 0 | Right: 0     --       Time: 1063472 6903158
Encoder:  23 | 0        --       Error: 0 | 0   --       Left: 0 | Right: 0     --       Time: 1063472 6910623
Encoder:  23 | 0        --       Error: 0 | 0   --       Left: 0 | Right: 0     --       Time: 1063472 6918087
Encoder:  23 | 0        --       Error: 0 | 0   --       Left: 0 | Right: 0     --       Time: 1063472 6925552
Encoder:  23 | 0        --       Error: 0 | 0   --       Left: 0 | Right: 0     --       Time: 1063472 69330
